,subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
88,7.0,-1.0,0.0,0.011891892,0.11567567,0.0,0.24108107,0.0,0.36432433,0.008648649,0.4908108,0.04216216,0.6064865,0.104864866,0.707027,0.17837837,0.7805405,0.2583784,0.8497297,0.36,0.8843243,0.4745946,0.8854054,0.5945946,0.84756756,0.7135135,0.7945946,0.8183784,0.7135135,0.89513516,0.6064865,0.93945944,0.48216215,0.972973,0.35243243,1.0,0.21837838,0.09189189,0.044324324,0.15675676,0.0021621622,0.23783784,0.0,0.31675676,0.024864865,0.38918918,0.06378379,0.54594594,0.082162164,0.63567567,0.060540542,0.7264865,0.05837838,0.81297296,0.0854054,0.8735135,0.14486487,0.45621622,0.20108108,0.44324324,0.27675676,0.43027028,0.3491892,0.41621622,0.42486486,0.3372973,0.48972973,0.37513512,0.5016216,0.41189188,0.51243246,0.45621622,0.5178378,0.50378376,0.5254054,0.18054055,0.16972972,0.23567568,0.16216215,0.29297298,0.16756757,0.33945945,0.20216216,0.28432432,0.20864865,0.22702703,0.2,0.58054054,0.2345946,0.63891894,0.21081081,0.69945943,0.22054054,0.7535135,0.24324325,0.6972973,0.2627027,0.63567567,0.25621623,0.28324324,0.612973,0.33081082,0.5902703,0.3762162,0.5794595,0.40756756,0.59675676,0.44864866,0.59567565,0.5027027,0.6345946,0.5556757,0.68,0.48432434,0.68540543,0.4281081,0.68540543,0.38702703,0.6789189,0.35243243,0.6637838,0.3189189,0.6378378,0.3091892,0.6097297,0.3718919,0.61945945,0.40324324,0.63243246,0.4443243,0.6367568,0.52756757,0.6681081,0.43243244,0.62702703,0.3935135,0.6216216,0.36216217,0.6064865
89,7.0,-1.0,0.0,0.0010672358,0.03628602,0.0,0.16221985,0.0053361794,0.28388473,0.016008537,0.40341514,0.052294556,0.511206,0.1248666,0.59658486,0.2230523,0.6584845,0.3191035,0.7139808,0.41728923,0.7449306,0.51974386,0.73745996,0.62646747,0.70117396,0.7417289,0.660619,0.83457845,0.59551764,0.8964781,0.506937,0.93596584,0.40554962,0.9722519,0.29882604,1.0,0.18676628,0.11632871,0.026680896,0.20277481,0.0,0.29882604,0.0042689433,0.3906083,0.03842049,0.47171825,0.08537887,0.62433296,0.11099253,0.7086446,0.089647815,0.7972252,0.084311634,0.8783351,0.10245464,0.9348986,0.14941302,0.5325507,0.18783352,0.5240128,0.23479189,0.5154749,0.28068304,0.506937,0.32977587,0.41302028,0.3991462,0.45144078,0.4076841,0.48986125,0.41622198,0.53041625,0.4194237,0.5720384,0.4194237,0.21664888,0.16221985,0.28495198,0.17502668,0.34364995,0.1814301,0.39701173,0.19637139,0.33511207,0.20277481,0.27321237,0.19316968,0.64354324,0.23585913,0.70971185,0.2379936,0.76734257,0.25080043,0.82283884,0.25506938,0.75987196,0.26894343,0.70010674,0.26040554,0.30522946,0.5389541,0.3810032,0.506937,0.4461046,0.48879403,0.48132336,0.50053364,0.51867664,0.49733192,0.56670225,0.52934897,0.6157951,0.57524014,0.5538954,0.6125934,0.49733192,0.62326574,0.4578442,0.6221985,0.42049092,0.6157951,0.3628602,0.59551764,0.33831376,0.5389541,0.43863395,0.5240128,0.47491995,0.53041625,0.5122732,0.5325507,0.5827108,0.56990397,0.5048026,0.5635005,0.46851653,0.5613661,0.43223053,0.55602986
90,7.0,-1.0,0.0,0.02371134,0.11237113,0.010309278,0.21546392,0.0010309279,0.31752577,0.0,0.42680413,0.021649485,0.5350515,0.08041237,0.62371135,0.16185567,0.6958763,0.24020618,0.7649484,0.33505154,0.80206186,0.44742268,0.8041237,0.57113403,0.7690722,0.70515466,0.7298969,0.82061857,0.671134,0.9,0.5865979,0.9443299,0.4773196,0.9762887,0.35670102,1.0,0.23298968,0.05257732,0.05773196,0.10309278,0.008247423,0.17938145,0.0,0.25773194,0.019587629,0.3298969,0.054639176,0.47525772,0.06185567,0.5731959,0.041237112,0.67525774,0.04639175,0.7659794,0.07938144,0.8319588,0.14432989,0.38659793,0.14639175,0.37216493,0.19072165,0.35670102,0.23505154,0.34020618,0.2814433,0.27113402,0.35257733,0.3072165,0.36494845,0.34639177,0.37628865,0.3958763,0.37628865,0.44536084,0.37525773,0.14123711,0.13402061,0.18865979,0.11134021,0.24329896,0.1185567,0.2927835,0.16082475,0.2371134,0.16494845,0.17938145,0.1556701,0.52577317,0.18762887,0.5752577,0.15463917,0.6381443,0.16494845,0.7,0.2,0.6360825,0.2072165,0.5731959,0.2041237,0.18762887,0.47216496,0.23608248,0.43608248,0.29896906,0.42474228,0.34948453,0.43917525,0.40206185,0.43814433,0.49175256,0.47010309,0.5814433,0.52474225,0.48350516,0.5958763,0.3886598,0.6154639,0.3329897,0.6113402,0.27938145,0.5989691,0.22371134,0.557732,0.2185567,0.47628865,0.29484537,0.4556701,0.34639177,0.46494845,0.39896908,0.47010309,0.5515464,0.52061856,0.39484537,0.5628866,0.34123713,0.556701,0.28865978,0.54329896
91,7.0,-1.0,0.0,0.0020768433,0.040498443,0.0,0.1682243,0.0062305294,0.28764278,0.017653167,0.40602285,0.05919003,0.51713395,0.13603322,0.6085151,0.23260644,0.6780893,0.3271028,0.7403946,0.42263758,0.7725857,0.52232605,0.76843196,0.63136035,0.7258567,0.74247146,0.6770509,0.84008306,0.59916925,0.90342677,0.5046729,0.94080997,0.39875388,0.97507787,0.2845275,1.0,0.15991692,0.11941849,0.039460022,0.19833852,0.0031152647,0.29075804,0.0,0.37902388,0.02596054,0.46105918,0.06334372,0.615784,0.07995846,0.7030114,0.05919003,0.79231566,0.055036344,0.8753894,0.080996886,0.93250257,0.13707165,0.5264797,0.17237799,0.51713395,0.24195223,0.5077882,0.30944964,0.49844238,0.37902388,0.41225338,0.4143302,0.44963655,0.42990655,0.48805815,0.4423676,0.5285566,0.44132918,0.569055,0.43717548,0.23468328,0.14226376,0.29698858,0.12772585,0.35929388,0.13291797,0.4049844,0.17133956,0.34994808,0.17445482,0.28764278,0.16614746,0.63343716,0.19937694,0.69470406,0.17549326,0.75285566,0.1827622,0.8037383,0.21079959,0.748702,0.2211838,0.6884735,0.21495327,0.33125648,0.5264797,0.3894081,0.50363445,0.44340602,0.49428868,0.47663552,0.5077882,0.5140187,0.5046729,0.56178606,0.5316719,0.615784,0.5659398,0.5524403,0.60955346,0.49948078,0.6188993,0.46105918,0.615784,0.42471445,0.60747665,0.37902388,0.5794392,0.3613707,0.5316719,0.4382139,0.5244029,0.47352025,0.53271025,0.509865,0.5347871,0.5877466,0.5638629,0.5057113,0.56490135,0.46936655,0.5638629,0.43406022,0.55451715
92,7.0,-1.0,0.0,0.005988024,0.013972056,0.0,0.13872255,0.002994012,0.26047903,0.016966067,0.38023952,0.058882236,0.48702595,0.13173653,0.5738523,0.22554891,0.64171654,0.31736526,0.6996008,0.41516966,0.7335329,0.51497006,0.7285429,0.61976045,0.68762475,0.7315369,0.63872254,0.82834333,0.56886226,0.8942116,0.4780439,0.93712574,0.37425148,0.9720559,0.26946107,1.0,0.15469062,0.13572854,0.018962076,0.2245509,0.0,0.31536925,0.008982036,0.40319362,0.037924152,0.4810379,0.08183633,0.6307385,0.103792414,0.7145709,0.08083832,0.7984032,0.0748503,0.8772455,0.08982036,0.9331337,0.12774451,0.5419162,0.18063872,0.53393215,0.22654691,0.5279441,0.2734531,0.5199601,0.32135728,0.42215568,0.38622755,0.46107784,0.3972056,0.499002,0.40618762,0.53892213,0.40918162,0.57884234,0.40918162,0.23153692,0.15568863,0.3003992,0.1736527,0.35728544,0.1756487,0.40618762,0.18263473,0.3493014,0.19161677,0.29041916,0.18463074,0.6477046,0.21956088,0.7145709,0.22854291,0.7684631,0.24251497,0.8223553,0.23952095,0.76147705,0.25449103,0.7045908,0.24650699,0.31237525,0.512974,0.38922155,0.49001995,0.4520958,0.4770459,0.48502994,0.49001995,0.52395207,0.48802397,0.5698603,0.51397204,0.6177645,0.55289423,0.5548902,0.58782434,0.501996,0.5968064,0.46207586,0.5958084,0.4251497,0.58782434,0.3702595,0.5668663,0.3463074,0.5159681,0.44510978,0.51197606,0.4790419,0.51796407,0.5159681,0.52095807,0.58582836,0.5499002,0.50998,0.5379242,0.4730539,0.53692615,0.43812376,0.5299401
93,7.0,-1.0,0.0,0.0,0.18210198,0.004162331,0.289282,0.012486992,0.39438087,0.027055152,0.50260144,0.06347555,0.60041624,0.13631634,0.6815817,0.23100936,0.7408949,0.32049948,0.7960458,0.4162331,0.81789804,0.5244537,0.80437046,0.64099896,0.7648283,0.7648283,0.7169615,0.86992717,0.6503642,0.9354839,0.5546306,0.9677419,0.43808532,0.98543185,0.31217483,1.0,0.1862643,0.023933403,0.09573361,0.067637876,0.036420394,0.14151925,0.013527576,0.22060354,0.016649324,0.2955255,0.04162331,0.4505723,0.035379812,0.54734653,0.0052029137,0.6514048,0.0,0.7502602,0.031217482,0.8241415,0.092611864,0.37044746,0.13631634,0.36316338,0.18730488,0.35379812,0.23829344,0.3433923,0.29136315,0.289282,0.37669095,0.3257024,0.38189387,0.36420396,0.3850156,0.40790844,0.38085327,0.4526535,0.37773153,0.122788765,0.16337149,0.16649324,0.11654527,0.22684704,0.12174818,0.2830385,0.1748179,0.22580644,0.17793965,0.16337149,0.17689906,0.50988555,0.17273673,0.55671173,0.11238293,0.6264308,0.11654527,0.69510925,0.16129032,0.6316337,0.17377731,0.56295526,0.17793965,0.21436004,0.5244537,0.26742977,0.47970864,0.3298647,0.458897,0.37565038,0.46722165,0.42559832,0.45993757,0.5192508,0.4817898,0.6233091,0.5182102,0.52653486,0.591051,0.43600416,0.62122786,0.38293445,0.62434965,0.33402705,0.6191467,0.27159208,0.59209156,0.2466181,0.52653486,0.33090532,0.49531737,0.37669095,0.49739856,0.4276795,0.4942768,0.5868887,0.5202914,0.43288243,0.5702393,0.38085327,0.57127994,0.33402705,0.5671176
94,7.0,-1.0,0.0,0.0029615005,0.07502468,0.0,0.20335637,0.0029615005,0.32872656,0.023692004,0.45212242,0.06712735,0.56762093,0.14807503,0.6623889,0.2497532,0.73741364,0.35538006,0.8015795,0.46495557,0.834156,0.5695953,0.82231,0.6663376,0.7680158,0.7719645,0.7117473,0.8548865,0.6396841,0.90918064,0.54590327,0.94570583,0.44225073,0.9792695,0.3395854,1.0,0.22902271,0.16485687,0.038499508,0.25666338,0.0039486676,0.35538006,0.0,0.45113525,0.02764067,0.5409674,0.07305034,0.69693977,0.09476802,0.77788746,0.074037515,0.8608095,0.07305034,0.93583417,0.103652515,0.9753208,0.16781837,0.6041461,0.18262586,0.5972359,0.2349457,0.5932873,0.28726554,0.5893386,0.34254688,0.48272458,0.41263574,0.5231984,0.4254689,0.56367224,0.43830207,0.6011846,0.43928924,0.63869697,0.43534058,0.2764067,0.14313918,0.34353405,0.10760119,0.4165844,0.11549852,0.46001974,0.18361303,0.3988154,0.19249754,0.32675222,0.17966436,0.6900296,0.21915103,0.75123394,0.1697927,0.8183613,0.17670286,0.85982233,0.23000987,0.8134255,0.25074038,0.74531096,0.24284305,0.34649557,0.53998023,0.4343534,0.5172754,0.5093781,0.5044423,0.54985195,0.5172754,0.5863771,0.51332676,0.6347483,0.53504443,0.68608093,0.5715696,0.6219151,0.61994076,0.56762093,0.6367226,0.5281342,0.63869697,0.48371175,0.63178676,0.41757157,0.60315895,0.3840079,0.5439289,0.5034551,0.5370188,0.5449161,0.5439289,0.5804541,0.5449161,0.6544916,0.57058245,0.57551825,0.57946694,0.53899306,0.5814413,0.49654493,0.5745311
95,7.0,-1.0,0.0,0.0,0.17035398,0.030973451,0.30088496,0.07300885,0.42035398,0.123893805,0.53097343,0.19026549,0.6261062,0.29424778,0.6946903,0.42035398,0.7300885,0.5287611,0.76106197,0.63274336,0.75663716,0.71681416,0.71681416,0.78318584,0.6460177,0.8606195,0.5862832,0.92699116,0.51106197,0.9623894,0.4159292,0.9800885,0.3119469,0.99336284,0.2079646,1.0,0.097345136,0.13716814,0.13938053,0.21902655,0.084070794,0.31858408,0.055309735,0.42699116,0.055309735,0.5287611,0.07300885,0.6659292,0.055309735,0.74336284,0.022123894,0.82743365,0.0022123894,0.91150445,0.0,0.9734513,0.042035397,0.6106195,0.17699115,0.61946905,0.23451327,0.6283186,0.2920354,0.6415929,0.35176992,0.539823,0.4358407,0.59070796,0.4380531,0.6393805,0.44026548,0.67699116,0.42699116,0.710177,0.40929204,0.27433628,0.20353982,0.34070796,0.16150442,0.41371682,0.15265487,0.47345132,0.20353982,0.41371682,0.21902655,0.34070796,0.22345133,0.70353985,0.17256637,0.75663716,0.11061947,0.82300884,0.09955752,0.8761062,0.12831858,0.8362832,0.16150442,0.7699115,0.17256637,0.45132744,0.579646,0.5265487,0.539823,0.59513277,0.50884956,0.63495576,0.5154867,0.67256635,0.49778762,0.7234513,0.51106197,0.7654867,0.53318584,0.7278761,0.5685841,0.6836283,0.5973451,0.6415929,0.6106195,0.5995575,0.61504424,0.53097343,0.6061947,0.48451328,0.57300884,0.5995575,0.5442478,0.63716817,0.5420354,0.67699116,0.53097343,0.7367257,0.53539824,0.67477876,0.54646015,0.63495576,0.5597345,0.5973451,0.5619469
96,7.0,-1.0,0.0,0.0,0.31938326,0.024229076,0.42951542,0.05506608,0.5352423,0.08810572,0.6365639,0.1431718,0.72687227,0.23127754,0.78854626,0.35022026,0.8215859,0.46696034,0.83920705,0.5837004,0.8436123,0.6938326,0.81497794,0.7907489,0.7709251,0.8832599,0.71145374,0.9449339,0.62995595,0.98237884,0.53744495,0.99559474,0.4339207,1.0,0.33039647,1.0,0.22246696,0.09030837,0.17841409,0.14977974,0.10352423,0.2400881,0.05506608,0.34581497,0.04405286,0.44493392,0.06167401,0.58810574,0.039647575,0.6740088,0.0066079297,0.7709251,0.0,0.8568282,0.028634362,0.9162996,0.09471366,0.52863437,0.16299559,0.5330396,0.20704846,0.5396476,0.24669604,0.54405284,0.29515418,0.4735683,0.4185022,0.51321584,0.4185022,0.5550661,0.41409692,0.592511,0.40969163,0.62995595,0.40088105,0.21145375,0.24669604,0.26872247,0.19823788,0.3370044,0.18502203,0.39867842,0.2290749,0.34140968,0.25110132,0.27312776,0.2599119,0.6431718,0.20484582,0.69603527,0.14757709,0.7599119,0.14537445,0.81718063,0.18281938,0.7687225,0.20704846,0.70264316,0.21365638,0.41629955,0.59911895,0.47797358,0.5506608,0.530837,0.51762116,0.55947137,0.52422905,0.5859031,0.51321584,0.6365639,0.53744495,0.70264316,0.5770925,0.6431718,0.592511,0.59911895,0.6013216,0.5704846,0.6057269,0.5396476,0.6057269,0.4845815,0.59911895,0.4427313,0.58810574,0.5352423,0.561674,0.5638766,0.5638766,0.59030837,0.55726874,0.6762115,0.5704846,0.592511,0.55947137,0.5638766,0.5638766,0.5352423,0.561674
97,7.0,-1.0,1.0,0.021468926,0.15367232,0.004519774,0.26666668,0.0,0.3762712,0.002259887,0.4858757,0.021468926,0.58531076,0.07457627,0.6723164,0.14802259,0.7446328,0.22711864,0.8135593,0.31751412,0.85649717,0.420339,0.86440676,0.53672314,0.8338983,0.659887,0.79887,0.76949155,0.740113,0.8485876,0.6519774,0.90847456,0.5435028,0.96045196,0.4259887,1.0,0.29604518,0.047457628,0.07570621,0.10056497,0.015819209,0.1841808,0.0,0.26892656,0.015819209,0.3480226,0.058757063,0.5276836,0.07909604,0.6316384,0.058757063,0.7423729,0.06892655,0.83841807,0.119774014,0.89830506,0.20225988,0.4214689,0.19322033,0.40564972,0.24858756,0.38757062,0.30508474,0.37062147,0.36158192,0.28700566,0.4338983,0.3242938,0.4463277,0.36045197,0.45649716,0.4124294,0.46214688,0.4644068,0.4655367,0.13333334,0.15932204,0.19774011,0.1220339,0.2723164,0.13446328,0.32090396,0.2079096,0.25536722,0.2079096,0.18079096,0.19322033,0.55706215,0.24632768,0.62485874,0.19322033,0.7016949,0.20112994,0.75819206,0.26327685,0.69717515,0.27457628,0.61920905,0.26553673,0.17062147,0.57288134,0.23954803,0.53898305,0.31073445,0.5242938,0.3559322,0.540113,0.4079096,0.53898305,0.48926553,0.58079094,0.5706215,0.63728815,0.47344634,0.6926554,0.38531074,0.7084746,0.33107343,0.70282483,0.280226,0.6903955,0.21920905,0.65310735,0.20564972,0.579661,0.30282485,0.5683616,0.3502825,0.5774011,0.40112993,0.58305085,0.53333336,0.6316384,0.39548022,0.6440678,0.34350282,0.6384181,0.29604518,0.62937856
