13-4,13-4,9-31,9-31,A/B,A/B,58-52,58-52,67-63,67-63,D/E,D/E
708,-175,204,334,3.4705882352941178,-0.5239520958083832,-76,165,-83,74,0.9156626506024096,2.22972972972973
814,-44,163,366,4.993865030674846,-0.12021857923497267,-99,149,-87,17,1.1379310344827587,8.764705882352942
810,-55,194,395,4.175257731958763,-0.13924050632911392,-72,156,-69,41,1.0434782608695652,3.8048780487804876
794,-198,210,276,3.780952380952381,-0.717391304347826,-53,131,-59,18,0.8983050847457628,7.277777777777778
726,-9,177,301,4.101694915254237,-0.029900332225913623,-90,117,-82,1,1.0975609756097562,117.0
864,-136,269,453,3.2118959107806693,-0.30022075055187636,-78,148,-87,29,0.896551724137931,5.103448275862069
463,-94,139,258,3.3309352517985613,-0.3643410852713178,-50,135,-52,51,0.9615384615384616,2.6470588235294117
447,-120,143,210,3.125874125874126,-0.5714285714285714,-46,97,-52,25,0.8846153846153846,3.88
756,-93,195,426,3.876923076923077,-0.21830985915492956,-84,114,-85,1,0.9882352941176471,114.0
610,-60,131,331,4.656488549618321,-0.18126888217522658,-68,95,-62,-1,1.096774193548387,-95.0
70,-10,18,33,3.888888888888889,-0.30303030303030304,-7,13,-6,3,1.1666666666666667,4.333333333333333
892,-74,163,502,5.47239263803681,-0.14741035856573706,-99,159,-90,30,1.1,5.3
252,-49,77,112,3.272727272727273,-0.4375,-22,61,-24,29,0.9166666666666666,2.103448275862069
534,-74,119,276,4.487394957983193,-0.26811594202898553,-61,101,-58,7,1.0517241379310345,14.428571428571429
657,-134,198,366,3.3181818181818183,-0.366120218579235,-62,146,-65,31,0.9538461538461539,4.709677419354839
604,-142,177,299,3.4124293785310735,-0.47491638795986624,-55,90,-58,6,0.9482758620689655,15.0
685,-149,190,333,3.6052631578947367,-0.44744744744744747,-67,101,-68,9,0.9852941176470589,11.222222222222221
569,-80,166,317,3.427710843373494,-0.25236593059936907,-56,134,-57,32,0.9824561403508771,4.1875
724,-56,165,419,4.387878787878788,-0.13365155131264916,-88,161,-82,25,1.0731707317073171,6.44
600,-126,186,363,3.225806451612903,-0.34710743801652894,-75,150,-77,16,0.974025974025974,9.375
626,-121,197,377,3.1776649746192893,-0.3209549071618037,-85,158,-86,11,0.9883720930232558,14.363636363636363
821,-97,225,443,3.648888888888889,-0.21896162528216703,-108,167,-106,12,1.0188679245283019,13.916666666666666
789,-73,210,409,3.757142857142857,-0.1784841075794621,-113,163,-108,11,1.0462962962962963,14.818181818181818
312,-55,85,175,3.6705882352941175,-0.3142857142857143,-36,73,-37,8,0.972972972972973,9.125
309,-76,92,161,3.358695652173913,-0.4720496894409938,-34,71,-36,11,0.9444444444444444,6.454545454545454
634,-90,163,347,3.8895705521472395,-0.25936599423631124,-69,125,-66,7,1.0454545454545454,17.857142857142858
639,-98,161,349,3.968944099378882,-0.2808022922636103,-73,119,-71,1,1.028169014084507,119.0
815,-59,169,345,4.822485207100592,-0.17101449275362318,-66,103,-59,-3,1.11864406779661,-34.333333333333336
813,-119,217,395,3.7465437788018434,-0.3012658227848101,-77,127,-75,1,1.0266666666666666,127.0
454,-61,119,248,3.8151260504201683,-0.24596774193548387,-48,80,-48,1,1.0,80.0
456,-49,118,248,3.864406779661017,-0.1975806451612903,-50,86,-48,2,1.0416666666666667,43.0
235,-26,48,130,4.895833333333333,-0.2,-34,31,-31,-1,1.096774193548387,-31.0
808,-36,180,505,4.488888888888889,-0.07128712871287128,-111,242,-106,152,1.0471698113207548,1.5921052631578947
